OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
2100,1989,3,12,,355.0,6.19,79
2103,1978,3,12,,70.0,10.12,48
2109,1992,3,12,,175.0,10.4,48
2112,2020,3,12,,175.0,10.51,48
2118,2000,3,12,,175.0,10.64,48
2121,1989,3,12,,355.0,35.47,48
2123,1977,3,12,135.82,85.0,6.39,71
2127,1983,3,12,,85.0,13.05,48
2131,1960,3,12,,285.0,6.69,48
2135,1982,3,12,,265.0,13.36,48
2140,1982,3,12,,80.0,10.31,48
2143,1989,6,12,141.79,75.0,10.39,79
2146,1978,3,12,,80.0,10.23,79
2149,1994,3,12,,80.0,10.34,79
2152,1986,3,12,,265.0,6.44,79
2156,1960,3,12,,265.0,6.39,71
2159,1983,3,12,,265.0,6.36,71
2163,2006,3,12,,265.0,6.29,79
2165,1980,3,12,161.31,345.0,34.53,71
2167,1979,3,12,91.08,355.0,8.4,71
2170,1980,3,12,,355.0,18.04,48
2173,1983,3,12,133.17,25.0,32.41,71
2176,1977,3,12,,95.0,10.34,71
2179,1980,3,12,71.69,175.0,12.38,71
2183,1997,3,12,,175.0,35.45,48
2187,1978,3,12,,175.0,17.44,48
2193,1980,3,12,,175.0,12.14,71
2196,2010,3,12,,355.0,6.12,48
2199,1993,3,12,8.08,285.0,20.67,71
2202,2006,3,12,86.35,355.0,6.37,79
2204,1983,3,12,124.8,35.0,22.65,71
2206,1978,3,12,,95.0,10.52,71
2210,1980,3,12,,95.0,10.47,48
2212,1975,3,12,95.8,95.0,10.29,71
2218,1973,3,12,,175.0,6.24,71
2220,1960,3,12,,275.0,6.66,71
2221,1978,3,12,44.68,275.0,6.44,79
2224,1988,3,12,,275.0,6.33,71
2225,2003,3,12,13.17,275.0,6.33,79
2228,1992,3,12,,275.0,6.34,48
2231,2002,6,12,,315.0,116.14,79
2234,1979,3,12,,350.0,10.19,71
2237,1985,3,12,,350.0,10.29,48
2240,1975,6,12,,350.0,10.37,48
2243,1996,3,12,,0.0,39.05,48
2246,1982,3,12,,95.0,10.35,48
2252,1980,3,12,,175.0,16.29,71
2259,2008,3,12,,15.0,6.78,79
2262,1983,3,12,22.0,105.0,13.46,79
2265,1978,3,12,,175.0,6.22,79
2271,1972,3,12,,250.0,6.57,71
2274,1972,3,12,,70.0,14.51,48
2281,1983,6,12,,20.0,8.57,79
2286,2006,3,12,38.33,180.0,8.47,79
2287,1985,3,12,68.67,205.0,9.34,71
2289,1983,3,12,158.6,180.0,8.78,48
2294,1997,3,12,,290.0,13.63,48
2296,1979,3,12,33.92,90.0,30.02,71
2299,1991,3,12,95.87,295.0,13.63,48
2304,1984,3,12,,100.0,44.87,79
2310,1995,3,12,,225.0,13.2,79
2314,1980,3,12,,315.0,10.57,48
2316,2010,3,12,95.69,100.0,33.45,48
2321,1984,3,12,,270.0,126.74,71
2327,1983,3,12,,85.0,inf,48
2331,1983,3,12,89.92,90.0,inf,71
2334,1980,3,12,32.47,95.0,44.91,48
2336,1982,3,12,101.72,100.0,47.32,71
2340,1989,3,12,,115.0,11.45,71
2341,1983,3,12,66.34,115.0,11.2,71
2344,1983,3,12,,130.0,11.65,71
2347,1977,3,12,,120.0,11.54,71
2351,2001,3,12,39.12,135.0,10.27,48
2354,1994,3,12,35.19,135.0,9.73,48
2357,1987,3,12,33.27,135.0,27.47,48
2360,1980,3,12,,215.0,13.83,71
2362,1980,3,12,,215.0,6.58,79
2365,1975,3,12,,245.0,106.73,71
2369,1993,3,12,,320.0,10.12,48
2372,1991,3,12,,315.0,10.05,48
